rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
134,frame_0282.jpg,112.8,0.4443,0.6108,0.1429,0.48,7,1,False,False
135,frame_0194.jpg,77.6,0.4353,0.6728,0.1429,0.28,3,1,False,False
136,frame_0319.jpg,127.6,0.4352,0.5012,0.4286,0.28,8,3,False,False
137,frame_0122.jpg,48.8,0.4345,0.6289,0.0,0.6,4,0,False,False
138,frame_0019.jpg,7.6,0.4344,0.3831,0.1429,1.0,4,1,False,False
139,frame_0113.jpg,45.2,0.4334,0.5136,0.4286,0.24,5,3,False,False
140,frame_0088.jpg,35.2,0.4313,0.5152,0.2857,0.44,5,2,False,False
141,frame_0098.jpg,39.2,0.4296,0.5861,0.4286,0.04,7,3,False,False
142,frame_0278.jpg,111.2,0.4293,0.5592,0.2857,0.32,7,2,False,False
143,frame_0096.jpg,38.4,0.4268,0.7199,0.1429,0.12,4,1,False,False
144,frame_0390.jpg,156.0,0.424,0.5589,0.4286,0.08,7,3,False,False
145,frame_0116.jpg,46.4,0.4236,0.446,0.4286,0.36,5,3,False,False
146,frame_0314.jpg,125.6,0.4231,0.4714,0.5714,0.08,6,4,False,False
147,frame_0131.jpg,52.4,0.4214,0.3731,0.1429,0.96,4,1,False,False
148,frame_0192.jpg,76.8,0.4199,0.5027,0.4286,0.2,5,3,False,False
149,frame_0203.jpg,81.2,0.4189,0.4103,0.2857,0.64,4,2,False,False
150,frame_0198.jpg,79.2,0.4185,0.661,0.0,0.44,1,0,False,False
151,frame_0321.jpg,128.4,0.4181,0.4133,0.5714,0.2,4,4,False,False
152,frame_0023.jpg,9.2,0.4174,0.3491,0.1429,1.0,2,1,False,False
153,frame_0226.jpg,90.4,0.4173,0.4758,0.5714,0.04,4,4,False,False
154,frame_0329.jpg,131.6,0.4172,0.6309,0.2857,0.08,9,2,False,False
155,frame_0273.jpg,109.2,0.4166,0.528,0.4286,0.12,5,3,False,False
156,frame_0032.jpg,12.8,0.4159,0.346,0.1429,1.0,6,1,False,False
157,frame_0026.jpg,10.4,0.4144,0.4289,0.0,1.0,2,0,False,False
158,frame_0108.jpg,43.2,0.413,0.6385,0.2857,0.04,7,2,False,False
159,frame_0091.jpg,36.4,0.4117,0.6096,0.1429,0.32,3,1,False,False
160,frame_0210.jpg,84.0,0.4083,0.4588,0.1429,0.68,4,1,False,False
161,frame_0202.jpg,80.8,0.4075,0.575,0.0,0.6,3,0,False,False
162,frame_0221.jpg,88.4,0.4071,0.5468,0.2857,0.24,5,2,False,False
163,frame_0399.jpg,159.6,0.4058,0.4424,0.4286,0.28,7,3,False,False
164,frame_0169.jpg,67.6,0.4038,0.4282,0.2857,0.52,6,2,False,False
165,frame_0083.jpg,33.2,0.4032,0.379,0.2857,0.64,4,2,False,False
